hypothesis_id,hypothesis_type,status,confidence_tier,context,bb_level_ids,claim,evidence,matched_control,moa_class,caveats,evidence_rank_score
ZSH-0047,level_control_mimicry,hypothesis_strong,B,zel028_hek293,bb3=BB_4179173119,"bb3=BB_4179173119 mimics HTH-01-015 (HSF1 heat shock validated) - rank-1 control match, cos 0.514","cos=0.514, p=0.000 vs 200-draw gene-label-permutation null",HTH-01-015,HSF1_heat_shock_validated,weak_null;singleton,0.5141551773476583
ZSH-0048,level_control_mimicry,hypothesis_strong,B,zel028_hek293,bb4=BB_9413321613,"bb4=BB_9413321613 mimics N-deshydroxyethyl dasatinib (BCR ABL inhibitor) - rank-1 control match, cos 0.512","cos=0.512, p=0.000 vs 200-draw gene-label-permutation null",N-deshydroxyethyl dasatinib,BCR_ABL_inhibitor,weak_null;singleton,0.5122349450232984
ZSH-0049,level_control_mimicry,hypothesis_strong,B,zel028_hek293,bb1=BB_8805984381,"bb1=BB_8805984381 mimics JAB-3068 (Phosphatase inhibitor) - rank-1 control match, cos 0.512","cos=0.512, p=0.000 vs 200-draw gene-label-permutation null",JAB-3068,Phosphatase_inhibitor,weak_null;singleton,0.5121158300437914
ZSH-0050,pair_hypothesis,hypothesis_triage,C,zel039_aec7,bb0=BB_2371372935 & bb1=BB_1748751977,"bb0=BB_2371372935 & bb1=BB_1748751977: interaction-driven program up [POSTN(+0.132), SERPINE1(+0.109), ANXA2(+0.104)]; z=26.6 vs permutation refits; bb-effect-atlas agreement cos=0.92","z_perm=26.6, composite=51.0, n=53, cos_bb_effect_atlas=0.919; null: label-permutation refits",,,none,51.0
ZSH-0051,pair_hypothesis,hypothesis_triage,C,zel024_hek293,bb0=BB_0078506578 & bb1=BB_4347926671,"bb0=BB_0078506578 & bb1=BB_4347926671: interaction-driven program up [HSPA1B(+0.066), PPIA(+0.058), SOX4(+0.056)]; z=33.5 vs permutation refits; bb-effect-atlas agreement cos=0.11","z_perm=33.5, composite=37.1, n=165, cos_bb_effect_atlas=0.109; null: label-permutation refits",,,none,37.1
ZSH-0052,pair_hypothesis,hypothesis_triage,C,zel039_aec7,bb0=BB_2371372935 & bb1=BB_9054028486,"bb0=BB_2371372935 & bb1=BB_9054028486: interaction-driven program up [POSTN(+0.074), HSP90AB1(+0.064), SERPINE1(+0.062)]; z=16.3 vs permutation refits; bb-effect-atlas agreement cos=0.83","z_perm=16.3, composite=29.9, n=53, cos_bb_effect_atlas=0.835; null: label-permutation refits",,,none,29.9
ZSH-0053,pair_hypothesis,hypothesis_triage,C,zel024_hek293,bb0=BB_1008886218 & bb1=BB_6474669253,"bb0=BB_1008886218 & bb1=BB_6474669253: interaction-driven program up [FP236383.3(+0.052), HSPA5(+0.043), EIF4A2(+0.042)]; z=14.3 vs permutation refits; bb-effect-atlas agreement cos=0.89","z_perm=14.3, composite=26.9, n=166, cos_bb_effect_atlas=0.887; null: label-permutation refits",,,none,26.9
ZSH-0054,pair_hypothesis,hypothesis_triage,C,zel024_hek293,bb0=BB_1174006333 & bb1=BB_6474669253,"bb0=BB_1174006333 & bb1=BB_6474669253: interaction-driven program up [SOX4(+0.045), HSPA1B(+0.040), JUN(+0.039)]; z=13.2 vs permutation refits; bb-effect-atlas agreement cos=0.84","z_perm=13.2, composite=24.4, n=166, cos_bb_effect_atlas=0.839; null: label-permutation refits",,,none,24.4
ZSH-0055,pair_hypothesis,hypothesis_triage,C,zel024_hek293,bb0=BB_7372899989 & bb1=BB_8873714086,"bb0=BB_7372899989 & bb1=BB_8873714086: interaction-driven program up [HSPA1B(+0.080), JUN(+0.055), DYNLL1(+0.053)]; z=12.6 vs permutation refits; bb-effect-atlas agreement cos=0.84","z_perm=12.6, composite=23.2, n=166, cos_bb_effect_atlas=0.841; null: label-permutation refits",,,none,23.2
ZSH-0056,pair_hypothesis,hypothesis_triage,C,zel024_hek293,bb0=BB_7372899989 & bb1=BB_6474669253,"bb0=BB_7372899989 & bb1=BB_6474669253: interaction-driven program up [XIST(+0.040), SNRPG(+0.035), HIST1H4C(+0.032)]; z=13.5 vs permutation refits; bb-effect-atlas agreement cos=0.68","z_perm=13.5, composite=22.7, n=166, cos_bb_effect_atlas=0.676; null: label-permutation refits",,,none,22.7
ZSH-0057,pair_hypothesis,hypothesis_triage,C,zel024_hek293,bb0=BB_2046017352 & bb1=BB_4347926671,"bb0=BB_2046017352 & bb1=BB_4347926671: interaction-driven program up [MT-CO2(+0.049), MT-CO3(+0.043), FTH1(+0.043)]; z=11.7 vs permutation refits; bb-effect-atlas agreement cos=0.85","z_perm=11.7, composite=21.7, n=166, cos_bb_effect_atlas=0.849; null: label-permutation refits",,,none,21.7
ZSH-0058,pair_hypothesis,hypothesis_triage,C,zel024_hek293,bb0=BB_4186593764 & bb1=BB_2686618432,"bb0=BB_4186593764 & bb1=BB_2686618432: interaction-driven program up [RPL5(+0.059), DDX5(+0.056), XBP1(+0.049)]; z=11.4 vs permutation refits; bb-effect-atlas agreement cos=0.88","z_perm=11.4, composite=21.3, n=166, cos_bb_effect_atlas=0.878; null: label-permutation refits",,,none,21.3
ZSH-0059,pair_hypothesis,hypothesis_triage,C,zel024_hek293,bb0=BB_4186593764 & bb1=BB_8873714086,"bb0=BB_4186593764 & bb1=BB_8873714086: interaction-driven program up [C1QBP(+0.020), ATP5F1C(+0.018), LARP6(+0.017)]; z=12.9 vs permutation refits; bb-effect-atlas agreement cos=0.64","z_perm=12.9, composite=21.2, n=166, cos_bb_effect_atlas=0.641; null: label-permutation refits",,,none,21.2
ZSH-0060,pair_hypothesis,hypothesis_triage,C,zel024_hek293,bb0=BB_0175183327 & bb1=BB_6601289516,"bb0=BB_0175183327 & bb1=BB_6601289516: interaction-driven program up [HSPA1B(+0.073), LDHA(+0.050), MARCKSL1(+0.046)]; z=11.1 vs permutation refits; bb-effect-atlas agreement cos=0.88","z_perm=11.1, composite=21.0, n=165, cos_bb_effect_atlas=0.884; null: label-permutation refits",,,none,21.0
