context,bb_pair_id,n_members,within_phenotype_coherence,within_candidate_chemical_coherence,ring1_phenotype_correlation,ring2_phenotype_correlation,ring3_phenotype_correlation,falloff,null_falloff_mean,null_falloff_sd,falloff_null_percentile
zel024_hek293,bb1=BB_4347926671 & bb3=BB_5798078569,24,0.6767992973327637,0.9493483304977416,-0.494211882352829,-0.0658386647701263,-0.1233497262001037,1.1710111796855929,-0.1163343345967587,0.202778936827133,1.0
zel024_hek293,bb1=BB_8873714086 & bb3=BB_9760256516,24,0.8143574595451355,0.9771190285682678,0.6828551292419434,0.6508470773696899,0.6190361976623535,0.1315023303031921,-0.147016003949102,0.1946047143653368,0.96
zel024_hek293,bb1=BB_4347926671 & bb3=BB_1483345899,24,0.7275729179382324,0.9633266925811768,0.5788538455963135,0.3550350666046142,0.4309914112091064,0.1487190723419189,-0.1265585961353463,0.2029086922815836,0.93
zel024_hek293,bb2=BB_5290020531 & bb3=BB_0671730704,83,0.2864324450492859,0.9412906765937804,-0.0689384341239929,-0.0861891731619834,-0.0873148068785667,0.3553708791732788,-0.0683074202791613,0.1694175283192331,0.99
zel024_hek293,bb1=BB_6601289516 & bb3=BB_5798078569,24,0.6103977560997009,0.9788448810577391,-0.0492311269044876,0.0205687005072832,0.0155242700129747,0.6596288830041885,-0.1390942842373624,0.2016877595709124,1.0
zel024_hek293,bb1=BB_8232087379 & bb3=BB_9543364413,24,0.7673461437225342,0.9839019775390624,0.2550514936447143,0.0538117587566375,-0.0793289840221405,0.5122946500778198,-0.1149396574299316,0.1800547882536942,1.0
zel024_hek293,bb1=BB_4347926671 & bb3=BB_0671730704,24,0.6730163097381592,0.962123692035675,0.1264011412858963,0.1544007360935211,0.2677786648273468,0.5466151684522629,-0.1505937638750765,0.1990448756546013,1.0
zel024_hek293,bb1=BB_6474669253 & bb3=BB_6235533440,24,0.4262364506721496,0.9838679432868958,0.1694707870483398,0.1050607860088348,0.1235003173351287,0.2567656636238098,-0.1224332127699744,0.1871736293218533,0.97
zel024_hek293,bb1=BB_4347926671 & bb3=BB_1708320181,24,0.7367324829101562,0.9428859353065492,0.2503662407398224,0.1708703190088272,0.180076777935028,0.4863662421703338,-0.1436061989856352,0.1945276175721887,1.0
zel024_hek293,bb2=BB_3472530680 & bb3=BB_1483345899,84,0.2405243068933487,0.9398470520973206,0.4077540934085846,0.0825278311967849,0.0049341628327965,-0.1672297865152359,-0.0670365609513282,0.1860874099523098,0.25
zel024_hek293,bb1=BB_8873714086 & bb3=BB_9543364413,24,0.7574527859687805,0.9847845435142516,0.4695329964160919,0.1888275146484375,0.1433543413877487,0.2879197895526886,-0.1373723279754631,0.1781583001872712,1.0
zel024_hek293,bb1=BB_8873714086 & bb3=BB_4464134601,24,0.8209118247032166,0.9764325618743896,0.5694442391395569,0.5038770437240601,0.4614338278770447,0.2514675855636596,-0.1585602647690029,0.1998668278801585,0.99
zel024_hek293,bb0=BB_0078506578 & bb3=BB_8459495534,14,0.2868139445781708,0.9096176028251648,0.1286720931529998,0.054448626935482,0.0786695703864097,0.1581418514251709,-0.1297617183648253,0.1873997793589937,0.93
zel024_hek293,bb1=BB_4347926671 & bb3=BB_9833957809,24,0.7904748916625977,0.9506229758262634,0.254306823015213,0.2763794362545013,0.3723931908607483,0.5361680686473846,-0.1357734443081426,0.2075732293936535,1.0
zel024_hek293,bb1=BB_8232087379 & bb3=BB_4111522701,24,0.6680490374565125,0.9809864163398744,0.5155772566795349,0.2484844624996185,0.1924446374177932,0.1524717807769775,-0.1488213694180012,0.1973052684437335,0.95
zel024_hek293,bb1=BB_6474669253 & bb3=BB_8090408280,24,0.4444539546966553,0.9845045804977416,0.2007825076580047,0.0651368647813797,0.0706558004021644,0.2436714470386505,-0.1395003357981477,0.2002761036712635,0.99
zel024_hek293,bb1=BB_8873714086 & bb3=BB_8380388218,24,0.8257342576980591,0.9847381114959716,0.5073451399803162,0.2675037682056427,0.4607889950275421,0.3183891177177429,-0.1487083028812048,0.1886065465612666,1.0
zel024_hek293,bb1=BB_2686618432 & bb3=BB_5443714227,24,0.4965052306652069,0.98538738489151,0.4211409091949463,-0.0386853590607643,-0.0319630689918994,0.0753643214702606,-0.1484683576595853,0.1704756925473595,0.91
