context,split_seed,n_acquisition_batches,n_subsets,mean_median_gene_pearson,min_median_gene_pearson,max_median_gene_pearson,mean_median_program_pearson,min_median_program_pearson,max_median_program_pearson
zic008_a549,20260926,1,5,0.4583513856489921,0.40683756369292384,0.4942253219773217,0.7018105864847725,0.6436165317963765,0.7964440765949475
zic008_a549,20260926,2,10,0.5798981265006964,0.5233657346732078,0.6387374897957374,0.8256095034229112,0.7314596897123078,0.8902135096168138
zic008_a549,20260926,3,10,0.6504244291852336,0.6177273423396927,0.6997917196128173,0.8824966240174614,0.8152333864254462,0.9213571035304757
zic008_a549,20260926,4,5,0.7030234577917989,0.6891716768393562,0.7282483237649611,0.9207910463306537,0.9020085549224189,0.9317842219736183
zic008_a549,20260926,5,1,0.7241982959444339,0.7241982959444339,0.7241982959444339,0.942256344766772,0.942256344766772,0.942256344766772
zic008_a549,20260927,1,5,0.4231129533147187,0.3320152164789626,0.4772221093344475,0.6849285417425901,0.5640224111500289,0.8290944520550451
zic008_a549,20260927,2,10,0.5298410983284042,0.4681594590130834,0.5944162137268084,0.7823436743510742,0.6678510568191911,0.8462440323891678
zic008_a549,20260927,3,10,0.586032175750513,0.5288059198481861,0.6320271659191767,0.8286216027540689,0.7502496800799081,0.8775346610487503
zic008_a549,20260927,4,5,0.6330237948065971,0.6009076653956993,0.6655607399328249,0.8427736724833343,0.8099369014372632,0.8746269442380928
zic008_a549,20260927,5,1,0.652067170830528,0.652067170830528,0.652067170830528,0.8649565294146427,0.8649565294146427,0.8649565294146427
zic008_a549,20260928,1,5,0.38746601699720556,0.1890737651228587,0.613834364753313,0.5802105503938042,0.3167027917475268,0.8746886504287374
zic008_a549,20260928,2,10,0.49763063845045574,0.2847148923617921,0.6891701074036798,0.7157433536792077,0.45240989762175576,0.9176206598604262
zic008_a549,20260928,3,10,0.5612385032023468,0.3852163244010535,0.6790433856353238,0.7725107227240289,0.5823283259498165,0.8865124723231738
zic008_a549,20260928,4,5,0.6002775023177692,0.4905142069931369,0.6729242078185338,0.8028492531564797,0.6916867757468903,0.8575031892224995
zic008_a549,20260928,5,1,0.6319127975612072,0.6319127975612072,0.6319127975612072,0.8186518368524041,0.8186518368524041,0.8186518368524041
zic008_a549,20260929,1,5,0.4650359271149675,0.401105334476448,0.5905813569280235,0.7057975851175072,0.6342951585995327,0.8365705743854367
zic008_a549,20260929,2,10,0.5904689583826149,0.51745877867674,0.6688616117508017,0.821311337500388,0.7222021577666508,0.8859857124454587
