target_gene,n_compounds_hit,hub_frac,hub_flag
ACER1,199,0.0012208514058195963,specific
ACER2,526,0.003226974067643757,frequent
ACER3,341,0.00209201170544966,specific
ACHE,497,0.0030490610487052226,frequent
ACIN1,1418,0.008699333132925565,frequent
ACKR1,189,0.0011595020889442395,specific
ACKR2,418,0.0025644014453899055,specific
ACKR3,475,0.002914092551579438,specific
ACKR4,19,0.00011656370206317752,specific
ACLY,1840,0.011288274305065613,hub_generic_stress
ACMSD,867,0.005318985773093417,frequent
ACO1,505,0.0030981405022055077,frequent
ACO2,608,0.0037300384660216806,frequent
ACOD1,504,0.0030920055705179724,frequent
ACOT1,151,0.0009263746848178846,specific
ACOT11,331,0.0020306623885743033,specific
ACOT12,326,0.0019999877301366247,specific
ACOT13,558,0.003423291881644898,frequent
ACOT2,238,0.001460113741633487,specific
ACOT4,502,0.0030797357071429008,frequent
ACOT6,301,0.0018466144379482333,specific
ACOT7,523,0.00320856927258115,frequent
ACOT8,1110,0.006809774173164582,frequent
ACOT9,272,0.0016687014190096994,specific
ACOX1,355,0.002177900749075159,specific
ACOX2,321,0.0019693130716989466,specific
ACOX3,417,0.0025582665137023697,specific
ACOXL,142,0.0008711602996300637,specific
ACP1,260,0.0015950822387592715,specific
ACP2,566,0.003472371335145183,frequent
ACP3,179,0.001098152772068883,specific
ACP4,234,0.0014355740148833443,specific
ACP5,320,0.0019631781400114108,specific
ACP6,485,0.0029754418684547947,specific
ACP7,240,0.0014723836050085583,specific
ACR,318,0.0019509082766363396,specific
ACRBP,420,0.0025766713087649767,specific
ACRV1,172,0.0010552082502561335,specific
ACSBG1,1228,0.00753369611229379,frequent
ACSBG2,482,0.0029570370733921878,specific
ACSF2,404,0.0024785124017644065,specific
ACSF3,246,0.0015091931951337722,specific
ACSL1,438,0.002687100079140619,specific
ACSL3,215,0.0013190103128201667,specific
ACSL4,307,0.0018834240280734475,specific
ACSL5,362,0.002220845270887909,specific
ACSL6,821,0.005036778915466777,frequent
ACSM1,300,0.0018404795062606978,specific
ACSM2A,148,0.0009079698897552776,specific
ACSM2B,430,0.0026380206256403334,specific
ACSM3,397,0.0024355678799516567,specific
ACSM4,246,0.0015091931951337722,specific
ACSM5,180,0.0011042877037564186,specific
ACSM6,223,0.001368089766320452,specific
ACSS1,455,0.002791393917828725,specific
ACSS2,589,0.0036134747639585034,frequent
ACSS3,210,0.0012883356543824883,specific
ACTA1,143,0.0008772952313175992,specific
ACTA2,436,0.0026748302157655474,specific
ACTB,1402,0.008601174225924994,frequent
ACTBL2,315,0.0019325034815737326,specific
ACTC1,485,0.0029754418684547947,specific
ACTG1,408,0.002503052128514549,specific
ACTG2,114,0.0006993822123790652,specific
ACTL10,114,0.0006993822123790652,specific
ACTL6A,625,0.003834332304709787,frequent
ACTL6B,233,0.0014294390831958085,specific
ACTL7A,157,0.0009631842749430985,specific
ACTL7B,412,0.0025275918552646916,specific
ACTL8,468,0.0028711480297666887,specific
ACTL9,181,0.0011104226354439544,specific
ACTMAP,254,0.0015582726486340574,specific
ACTN1,227,0.0013926294930705946,specific
ACTN2,187,0.0011472322255691684,specific
ACTN3,172,0.0010552082502561335,specific
ACTN4,460,0.002822068576266403,specific
ACTR10,347,0.002128821295574874,specific
ACTR1A,541,0.003318998042956792,frequent
ACTR1B,901,0.005527573450469629,frequent
ACTR2,252,0.0015460027852589862,specific
ACTR3,407,0.0024969171968270134,specific
ACTR3B,254,0.0015582726486340574,specific
ACTR3C,362,0.002220845270887909,specific
ACTR5,2275,0.013956969589143624,hub_generic_stress
ACTR6,5390,0.0330672817958172,hub_generic_stress
ACTR8,3751,0.02301212875994626,hub_generic_stress
ACTRT1,228,0.0013987644247581304,specific
ACTRT2,623,0.003822062441334716,frequent
ACTRT3,383,0.0023496788363261576,specific
ACVR1,276,0.001693241145759842,specific
ACVR1B,199,0.0012208514058195963,specific
ACVR1C,187,0.0011472322255691684,specific
ACVR2A,648,0.003975435733523107,frequent
ACVR2B,606,0.0037177686026466095,frequent
ACVRL1,316,0.0019386384132612684,specific
ACY1,1022,0.006269900184661443,frequent
ACY3,124,0.0007607315292544217,specific
ACYP1,292,0.0017914000527604124,specific
ACYP2,232,0.001423304151508273,specific
ADA,507,0.0031104103655805793,frequent
ADA2,129,0.0007914061876921001,specific
ADAD1,384,0.002355813768013693,specific
ADAD2,140,0.0008588904362549923,specific
ADAL,796,0.004883405623278385,frequent
ADAM10,195,0.0011963116790694535,specific
ADAM11,71,0.0004355801498150318,specific
ADAM12,329,0.0020183925251992317,specific
ADAM15,414,0.0025398617186397627,specific
ADAM17,776,0.004760706989527672,frequent
ADAM18,185,0.001134962362194097,specific
ADAM19,922,0.005656407015907878,frequent
ADAM2,197,0.0012085815424445249,specific
ADAM20,251,0.0015398678535714504,specific
ADAM21,383,0.0023496788363261576,specific
ADAM22,323,0.0019815829350740177,specific
ADAM23,344,0.002110416500512267,specific
ADAM28,411,0.0025214569235771558,specific
ADAM29,344,0.002110416500512267,specific
ADAM30,208,0.0012760657910074172,specific
ADAM32,228,0.0013987644247581304,specific
ADAM33,466,0.002858878166391617,specific
ADAM7,195,0.0011963116790694535,specific
ADAM8,396,0.002429432948264121,specific
ADAM9,575,0.003527585720333004,frequent
ADAMDEC1,241,0.0014785185366960939,specific
ADAMTS1,594,0.0036441494223961816,frequent
ADAMTS10,1560,0.009570493432555628,frequent
ADAMTS12,194,0.001190176747381918,specific
ADAMTS13,663,0.004067459708836142,frequent
ADAMTS14,186,0.0011410972938816326,specific
ADAMTS15,198,0.0012147164741320605,specific
ADAMTS16,225,0.0013803596296955234,specific
ADAMTS17,334,0.0020490671836369103,specific
ADAMTS18,474,0.0029079576198919026,specific
ADAMTS19,173,0.001061343181943669,specific
ADAMTS2,113,0.0006932472806915295,specific
ADAMTS20,255,0.0015644075803215932,specific
ADAMTS3,387,0.0023742185630763,specific
ADAMTS4,290,0.0017791301893853413,specific
ADAMTS5,596,0.0036564192857712527,frequent
ADAMTS6,260,0.0015950822387592715,specific
ADAMTS7,245,0.0015030582634462364,specific
ADAMTS8,637,0.003907951484960215,frequent
ADAMTS9,257,0.0015766774436966643,specific
ADAMTSL1,174,0.0010674781136312047,specific
ADAMTSL2,491,0.0030122514585800087,frequent
ADAMTSL3,479,0.002938632278329581,specific
ADAMTSL4,619,0.003797522714584573,frequent
ADAMTSL5,257,0.0015766774436966643,specific
ADAP1,307,0.0018834240280734475,specific
ADAP2,343,0.002104281568824731,specific
ADAR,1148,0.007042901577290937,frequent
ADARB1,202,0.0012392562008822032,specific
ADARB2,551,0.003380347359832148,frequent
ADAT1,402,0.002466242538389335,specific
ADAT2,454,0.002785258986141189,specific
ADAT3,891,0.005466224133594272,frequent
ADCK1,410,0.0025153219918896204,specific
ADCK2,195,0.0011963116790694535,specific
ADCK5,479,0.002938632278329581,specific
