public_compound_id,target_gene,contexts_x,n_datasets_scored,n_datasets_top5pct,n_datasets_top1pct,best_percentile,max_cosine,median_percentile,best_dataset_exact,tier,best_z,n_contexts,contexts_y,best_rank,kd_delta_median,kd_flag_weak,contexts,name,moa_class,primary_target,evidence_strength,hub_frac,hub_flag
CPD_320832145585,XRN1,"zel031_a549,zel031_thp1",10,12,5,0.0004178854993731,0.3044830858707428,0.0241537638175399,rpe1,B_consensus_strong,9.248482,2.0,"zel031_a549,zel031_thp1",2.0,-1.342105269432068,False,,,,,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_670085304049,CASC3,"zel028_a549,zel028_hek293",9,12,9,0.0001013581998783,0.0592324621975421,0.0097657731203097,replogle_k562_gwps,B_consensus_strong,9.121977,2.0,"zel028_a549,zel028_hek293",1.0,-1.3566572666168213,False,,,,,strong_multi_dataset,0.0404230648891724,hub_generic_stress
CPD_895537581036,XRN1,"zel031_a549,zel031_thp1",10,12,7,0.0004178854993731,0.3296397924423218,0.0231010467348867,rpe1,B_consensus_strong,8.695671,2.0,"zel031_a549,zel031_thp1",1.0,-1.342105269432068,False,,,,,strong_multi_dataset,0.0589689633805927,hub_generic_stress
CPD_320832145585,CNOT1,"zel031_a549,zel031_thp1",7,12,9,0.0001013581998783,0.2705290615558624,0.0016715419974926,replogle_k562_gwps,B_consensus_strong,8.637163,2.0,"zel031_a549,zel031_thp1",8.0,-1.591932773590088,False,,,,,strong_multi_dataset,0.0459874479297673,hub_generic_stress
CPD_908424475140,SUGT1,"zel028_hek293,zel031_a549,zel039_aec7",10,11,2,0.0035917652212001,0.2912915647029876,0.0988797373116286,zhu_cd4t_stim8hr,,10.895528,3.0,,2.0,,,"zel028_hek293,zel031_a549,zel039_aec7",derazantinib,FGFR_inhibitor,FGFR1/2/3,strong_multi_dataset,0.0251961644407089,hub_generic_stress
CPD_780406670572,DDX6,"zel028_hek293,zel031_a549,zel039_aec7",10,11,1,0.0039890080666607,0.1935024112462997,0.1238033670361946,zhu_cd4t_stim48hr,,10.643239,3.0,,8.0,,,"zel028_hek293,zel031_a549,zel039_aec7",MSC1094308,AAA_ATPase_inhibitor,VCP;VPS4B,strong_multi_dataset,0.0349200311654529,hub_generic_stress
CPD_780406670572,SUGT1,"zel028_hek293,zel031_a549,zel039_aec7",10,11,3,0.0043802014892685,0.2800604403018951,0.1026215081944988,zhu_cd4t_stim8hr,,10.608289,3.0,,2.0,,,"zel028_hek293,zel031_a549,zel039_aec7",MSC1094308,AAA_ATPase_inhibitor,VCP;VPS4B,strong_multi_dataset,0.0251961644407089,hub_generic_stress
CPD_326167036106,DDX6,"zel028_hek293,zel031_a549,zel039_aec7",10,11,4,0.0015069586029607,0.1956314891576767,0.103799433324012,zhu_cd4t_stim48hr,,10.577728,3.0,,2.0,,,"zel028_hek293,zel031_a549,zel039_aec7",Capmatinib,ALK_MET_inhibitor,MET,strong_multi_dataset,0.0349200311654529,hub_generic_stress
CPD_168135774311,KRR1,"zel031_a549,zel039_aec7",10,11,6,0.0032798510770321,0.3758285641670227,0.0455865810384009,zhu_cd4t_stim48hr,,10.224793,2.0,,39.0,,,"zel031_a549,zel039_aec7",BAY-293,RAS_pathway_other,SOS1,strong_multi_dataset,0.0128833565438248,hub_generic_stress
CPD_317738115337,DDX6,"zel028_hek293,zel031_a549,zel039_aec7",10,11,2,0.0019501817214785,0.2213524878025055,0.1391505769148676,zhu_cd4t_stim48hr,,10.09883,3.0,,2.0,,,"zel028_hek293,zel031_a549,zel039_aec7",ZM336372,MEK_RAF_multikinase,RAF1,strong_multi_dataset,0.0349200311654529,hub_generic_stress
CPD_056284183052,ABCE1,"zel028_hek293,zel031_a549,zel039_aec7",10,11,2,0.0020894274968658,0.2806112170219421,0.0741702465158361,rpe1,,9.493012,3.0,,15.0,,,"zel028_hek293,zel031_a549,zel039_aec7",fexagratinib,FGFR_inhibitor,FGFR1/2/3,strong_multi_dataset,0.0355519291292691,hub_generic_stress
CPD_137861888137,SUGT1,"zel028_hek293,zel031_a549,zel039_aec7",10,11,2,0.0034165571616294,0.2379272580146789,0.0858719557509763,zhu_cd4t_stim8hr,,9.337232,3.0,,2.0,,,"zel028_hek293,zel031_a549,zel039_aec7",aloperine,Unknown_Other,natural product / immunomodulator,strong_multi_dataset,0.0251961644407089,hub_generic_stress
CPD_476710872014,SMG5,"zel028_a549,zel028_hek293",9,11,7,0.0004861448711716,0.0633814930915832,0.0158833750313177,k562_essential,B_consensus_strong,8.595389,2.0,"zel028_a549,zel028_hek293",1.0,-0.8460978865623474,False,,,,,strong_multi_dataset,0.0482205630640302,hub_generic_stress
CPD_502166738795,UPF2,"zel028_a549,zel028_h1650",10,11,7,0.0001013581998783,0.0841801762580871,0.0411617216882574,replogle_k562_gwps,B_consensus_strong,8.221957,2.0,"zel028_a549,zel028_h1650",1.0,-1.5679939985275269,False,,,,,strong_multi_dataset,0.0828829270986067,hub_generic_stress
CPD_245540788536,SMG7,"zel031_a549,zel031_thp1",9,11,6,0.0008864462370357,0.1560187041759491,0.0250909664623777,zhu_cd4t_stim48hr,B_consensus_strong,8.034563,2.0,"zel031_a549,zel031_thp1",2.0,-1.4895867109298706,False,,,,,strong_multi_dataset,0.0495518432402255,hub_generic_stress
CPD_168135774311,DDX6,"zel028_hek293,zel031_a549,zel039_aec7",10,10,4,0.0017728924740714,0.1816222518682479,0.0999897407573424,zhu_cd4t_stim48hr,,12.934592,3.0,,1.0,,,"zel028_hek293,zel031_a549,zel039_aec7",BAY-293,RAS_pathway_other,SOS1,strong_multi_dataset,0.0349200311654529,hub_generic_stress
CPD_168135774311,SUGT1,"zel028_hek293,zel031_a549,zel039_aec7",10,10,3,0.0043802014892685,0.280760645866394,0.0945005117237504,zhu_cd4t_stim8hr,,12.875221,3.0,,3.0,,,"zel028_hek293,zel031_a549,zel039_aec7",BAY-293,RAS_pathway_other,SOS1,strong_multi_dataset,0.0251961644407089,hub_generic_stress
CPD_097241972673,SUGT1,"zel028_hek293,zel031_a549,zel039_aec7",10,10,2,0.0035917652212001,0.2698738574981689,0.0834577856034253,zhu_cd4t_stim8hr,,12.196912,3.0,,2.0,,,"zel028_hek293,zel031_a549,zel039_aec7",AZD-7624,Stress_kinase_inhibitor,p38 MAPK (MAPK14),strong_multi_dataset,0.0251961644407089,hub_generic_stress
CPD_493584181166,ZFC3H1,"zel031_a549,zel031_thp1",10,10,7,0.0001013581998783,0.0717246308922767,0.0494980560030611,replogle_k562_gwps,B_consensus_strong,11.259049,2.0,"zel031_a549,zel031_thp1",1.0,-1.9933608770370483,False,,,,,strong_multi_dataset,0.050165336408979,hub_generic_stress
CPD_168135774311,HDAC7,"zel028_hek293,zel031_a549,zel039_aec7",10,10,2,0.0065597021540643,0.267818808555603,0.0896691673736072,zhu_cd4t_stim48hr,,11.187733,3.0,,17.0,,,"zel028_hek293,zel031_a549,zel039_aec7",BAY-293,RAS_pathway_other,SOS1,strong_multi_dataset,0.0136502230047668,hub_generic_stress
CPD_326167036106,SUGT1,"zel028_hek293,zel031_a549,zel039_aec7",10,10,4,0.0026281208935611,0.2203458696603775,0.0982756695109034,zhu_cd4t_stim8hr,,11.1840725,3.0,,5.0,,,"zel028_hek293,zel031_a549,zel039_aec7",Capmatinib,ALK_MET_inhibitor,MET,strong_multi_dataset,0.0251961644407089,hub_generic_stress
CPD_326167036106,XRCC2,"zel031_a549,zel031_thp1,zel039_aec7",10,10,5,0.0038545773105562,0.3618798851966858,0.0940055969511145,zhu_cd4t_stim8hr,,10.53812,3.0,,6.0,,,"zel031_a549,zel031_thp1,zel039_aec7",Capmatinib,ALK_MET_inhibitor,MET,strong_multi_dataset,0.0101042324893712,hub_generic_stress
CPD_326167036106,ARIH1,"zel028_hek293,zel031_a549,zel039_aec7",10,10,3,0.0035497788214734,0.1792345941066742,0.1156560041504949,xatlas_hek293t,,10.479349,3.0,,10.0,,,"zel028_hek293,zel031_a549,zel039_aec7",Capmatinib,ALK_MET_inhibitor,MET,strong_multi_dataset,0.0242820596192661,hub_generic_stress
CPD_360434106630,KRR1,"zel031_a549,zel039_aec7",10,10,6,0.0005256241787122,0.3791941702365875,0.049310764240827,zhu_cd4t_stim8hr,,10.461987,2.0,,2.0,,,"zel031_a549,zel039_aec7",IRAK inhibitor 1,Stress_kinase_inhibitor,IRAK1/IRAK4,strong_multi_dataset,0.0128833565438248,hub_generic_stress
CPD_780406670572,CMTR1,"zel031_a549,zel039_aec7",10,10,2,0.0037609694943585,0.356723815202713,0.0582766733399485,rpe1,,10.350846,2.0,,14.0,,,"zel031_a549,zel039_aec7",MSC1094308,AAA_ATPase_inhibitor,VCP;VPS4B,strong_multi_dataset,0.0297176090944227,hub_generic_stress
