context,model_variant,fold,seed,n_train,n_val,n_test,prog_pearson_mean,prog_pearson_median,prog_pearson_min,prog_pearson_max,null_mean,null_sd,null_q95,null_tail_frac_ge,above_floor_q95,margin_over_q95,model_hyperparameter
zel039_aec7,scantype896_ridge,0,2,10708,1243,3052,0.146181528255139,0.1604682754672049,0.0201603192480705,0.3058343996336542,0.0003616990105315,0.0062164302602614,0.0099275462437844,0.0,True,0.1362539820113545,1000.0
zel039_aec7,scantype896_ridge,1,0,10776,1247,2980,0.1118505910335057,0.0680435269458399,-0.0027259752670127,0.3176884492330205,-0.0003258884523951,0.0045605562392592,0.007161714359529,0.0,True,0.1046888766739767,1000.0
zel039_aec7,scantype896_ridge,1,1,10776,1247,2980,0.1118505910335057,0.0680435269458399,-0.0027259752670127,0.3176884492330205,0.0007451557264774,0.0043642041084922,0.0077337203205388,0.0,True,0.1041168707129669,1000.0
zel039_aec7,scantype896_ridge,1,2,10776,1247,2980,0.1118505910335057,0.0680435269458399,-0.0027259752670127,0.3176884492330205,0.000153221242935,0.0047939808125616,0.0081926083019197,0.0,True,0.103657982731586,1000.0
zel039_aec7,scantype896_ridge,2,0,10755,1276,2972,0.1131831901917184,0.0946097595171113,-0.010307461392491,0.3418719490419725,0.0001769363939042,0.0043284681808202,0.0070171304243103,0.0,True,0.106166059767408,1000.0
zel039_aec7,scantype896_ridge,2,1,10755,1276,2972,0.1131831901917184,0.0946097595171113,-0.010307461392491,0.3418719490419725,0.0001752730418614,0.004992636765142,0.0080071354410506,0.0,True,0.1051760547506678,1000.0
zel039_aec7,scantype896_ridge,2,2,10755,1276,2972,0.1131831901917184,0.0946097595171113,-0.010307461392491,0.3418719490419725,0.0007817851310107,0.0049362571487934,0.0092502571711975,0.0,True,0.1039329330205209,1000.0
zel039_aec7,scantype896_ridge,3,0,10766,1229,3008,0.110183178563102,0.1048269276526215,-0.0017975366648387,0.3019808523916542,7.992905422824491e-06,0.0043760092382475,0.0074434311771604,0.0,True,0.1027397473859416,1000.0
zel039_aec7,scantype896_ridge,3,1,10766,1229,3008,0.110183178563102,0.1048269276526215,-0.0017975366648387,0.3019808523916542,8.311212939582369e-05,0.0042943087617838,0.0064025299120658,0.0,True,0.1037806486510362,1000.0
zel039_aec7,scantype896_ridge,3,2,10766,1229,3008,0.110183178563102,0.1048269276526215,-0.0017975366648387,0.3019808523916542,0.0001341040801628,0.0044449520280023,0.007815589993288,0.0,True,0.1023675885698139,1000.0
zel039_aec7,scantype896_ridge,4,0,10739,1273,2991,0.1059107270768033,0.0872011357962907,-0.0153746226256523,0.2916904880321819,0.000393117365465,0.004575897703378,0.0090967903657428,0.0,True,0.0968139367110604,1000.0
zel039_aec7,scantype896_ridge,4,1,10739,1273,2991,0.1059107270768033,0.0872011357962907,-0.0153746226256523,0.2916904880321819,-0.000268285753049,0.0046035546418466,0.0070999254659909,0.0,True,0.0988108016108123,1000.0
zel039_aec7,scantype896_ridge,4,2,10739,1273,2991,0.1059107270768033,0.0872011357962907,-0.0153746226256523,0.2916904880321819,-7.894433019771441e-05,0.0045045711227058,0.0071841942242599,0.0,True,0.0987265328525433,1000.0
