context,program,image_features,chemistry_model,folds,n_test_compounds,r2_chem,r2_img,r2_joint,chem_only,img_only,shared,unexplained,img_only_fold_sd,chem_only_fold_sd,img_only_null_mean,img_only_null_sd,img_only_z,img_only_tail,chem_only_null_mean,chem_only_null_sd,chem_only_z,chem_only_tail,rel_img,img_only_rel_ceiling,r2_img_rel_ceiling,r_ceiling_img
zel031_a549,P04,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",5521,0.0235449671085422,0.002767644424841,0.0261099799766435,0.0233423355518025,0.0025650128681013,0.0002026315567397,0.9738900200233565,0.0024242142878752,0.0158861373073906,0.0007133751182605,0.0010024562757117,1.8471007611041843,0.055,0.0007037319896575,0.0009188749391822,24.637306554786484,0.0,0.424,0.0060495586511824,0.0065274632661346,0.6511528238439882
zel031_a549,P05,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",5521,0.0115806467551315,0.0008476636393726,0.0124224861737341,0.0115748225343615,0.0008418394186025,5.824220770026098e-06,0.9875775138262658,0.0010565019373181,0.0131271994391753,0.0006677398915749,0.0010126967549016,0.1719167422872988,0.245,0.0007393471295145,0.0011198553351221,9.675781384445925,0.00125,0.424,0.0019854703268928,0.0019992066966335,0.6511528238439882
zel031_a549,P06,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",5521,0.0232627972651871,0.0011818880832997,0.0245496564674297,0.02336776838413,0.0012868592022425,-0.0001049711189428,0.9754503435325704,0.0011746437470409,0.0141592542673593,0.0007200573649344,0.0010391378099678,0.5454539637295468,0.17875,0.0007386874991239,0.0011149833168108,20.29544347778424,0.0,0.424,0.003035045288308,0.0027874718945749,0.6511528238439882
zel031_a549,P07,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",5521,0.0208877393953097,0.0021140087963257,0.0227638044818971,0.0206497956855713,0.0018760650865873,0.0002379437097384,0.9772361955181028,0.0009815759007791,0.0206511955850714,0.0007583244312138,0.0010634365138881,1.0510647704645748,0.115,0.00072612360117,0.0009585457327351,20.785311961641444,0.0,0.424,0.0044246818079889,0.004985869802655,0.6511528238439882
zel031_a549,P08,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",5521,0.0135876395388809,0.0008279128882823,0.014308633689834,0.0134807208015517,0.000720994150953,0.0001069187373292,0.985691366310166,0.0005867048059439,0.0098288826539785,0.0007362740444165,0.0010467681370348,-0.0145972091841104,0.31875,0.0007157373961211,0.0010143749164313,12.58408818934465,0.0,0.424,0.001700457903191,0.0019526247365148,0.6511528238439882
zel031_a549,P09,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",5521,0.0258080381229095,0.0009376047144782,0.02662312800548,0.0256855232910017,0.0008150898825704,0.0001225148319077,0.97337687199452,0.0007553808873041,0.0129952619998471,0.0006915894946503,0.0009962979556423,0.1239592907128584,0.28625,0.0007721363460001,0.0010934806008722,22.78356554759933,0.0,0.424,0.0019223817985151,0.0022113318737694,0.6511528238439882
zel031_a549,P10,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",5521,0.0261827406907811,0.0003858211676485,0.0266654520425299,0.0262796308748813,0.0004827113517487,-9.689018410022648e-05,0.97333454795747,0.0008016905940295,0.0125608400521979,0.0007479066373277,0.0010332368828987,-0.2566645557938588,0.43,0.0007886095987064,0.001108952015803,22.986586356232003,0.0,0.424,0.0011384701692187,0.0009099555840767,0.6511528238439882
zel031_a549,P11,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",5521,0.0151178042225531,0.0011744755024917,0.0164985630107144,0.0153240875082227,0.0013807587881613,-0.0002062832856695,0.9835014369892854,0.0013700030573801,0.0041040335584382,0.0007302918846457,0.0009620636837553,0.6761162639218439,0.16875,0.0007012859930298,0.0009996763028188,14.627536407495116,0.0,0.424,0.0032565065758522,0.0027699893926692,0.6511528238439882
zel031_a549,P12,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",5521,0.0195601907231737,0.0006922304886098,0.0201403869072537,0.0194481564186438,0.00058019618408,0.0001120343045298,0.9798596130927462,0.0002951172777527,0.0093164301131003,0.0006897248097789,0.0009238198946944,-0.1185605834296487,0.36625,0.00075010355453,0.0010124816104204,18.46754812302159,0.0,0.424,0.0013683872266038,0.00163261907691,0.6511528238439882
zel031_a549,P13,clip_ridge,chemistry_cross_attention_seed0,"1,2,3,4",5521,0.0536243818688501,0.0009731775064512,0.0544413572717213,0.0534681797652701,0.0008169754028711,0.00015620210358,0.9455586427282788,0.0011354650903427,0.0375327238912897,0.000693033498982,0.0009785131885825,0.1266634985968839,0.275,0.0007172422235019,0.0009980500231074,52.85400162361245,0.0,0.424,0.0019268287803564,0.0022952299680453,0.6511528238439882
