context,library,marker,program,n_test,r_raw,z_raw,tail_raw,r_partial,z_partial,tail_partial,marker_rel_sb,r_ceiling,r_chem_pred,z_chem_pred,r_img_pred,z_img_pred,fw_flag
zel024_hek293,zel024,p62,P17,3720,-0.0181348799971335,-1.1017312738662015,0.87,0.0285585351731125,1.771996064469996,0.035,0.5861,0.7655716818169283,-0.031924723945966,-1.9714446750683143,-0.1218745479562598,-7.274138808454399,False
zel024_hek293,zel024,p62,P18,3720,0.0064483315868697,0.4908292405765675,0.3,-0.0432231076881548,-2.81181860055516,0.995,0.5861,0.7655716818169283,0.0154117301153917,0.9433664989744664,0.1391671566149817,7.985422809071358,False
zel024_hek293,zel024,p62,P19,3720,0.0198341305760968,1.151207847922602,0.12,0.039965035082427,2.197577110490057,0.03,0.5861,0.7655716818169283,0.0096184770779822,0.5400854126881997,-0.1234961412686351,-7.28986692275863,False
zel024_hek293,zel024,p62,P20,3720,-0.0254430243755647,-1.4494416479691554,0.92,0.0361743522749,2.1784260567448603,0.025,0.5861,0.7655716818169283,-0.0256682489168934,-1.5786447321973405,-0.1601061934921885,-9.733909017739514,False
zel024_hek293,zel024,p62,P21,3720,-0.0052028372577483,-0.39359595020589,0.67,0.0401991645078372,2.2379461389445616,0.015,0.5861,0.7655716818169283,-0.0130680490749568,-0.7796188550232561,-0.1065021964922817,-6.2799553890005,False
zel024_hek293,zel024,p62,P22,3720,-0.0061962483843095,-0.35518420945721,0.645,0.0295922674632972,1.828593937975128,0.035,0.5861,0.7655716818169283,-0.0223015750505342,-1.3576599314259472,-0.1623469356451664,-9.75867736964501,False
zel024_hek293,zel024,p62,P23,3720,-0.014143408909451,-0.8337926748347638,0.815,-0.0469142462239017,-2.919908850629993,0.995,0.5861,0.7655716818169283,-0.0066579670186029,-0.3371921416676404,0.0990989853308666,5.793305428696464,False
zel024_hek293,zel024,p62,P24,3720,0.0320957371034102,1.979916392244236,0.025,0.0184347311766693,1.1312843701831825,0.145,0.5861,0.7655716818169283,0.0287255589406522,1.741472490865441,0.1069359214789786,6.600483323323511,False
zel024_hek293,zel024,p62,P25,3720,0.0431430296159627,2.5356336277947005,0.0,0.0157952817351446,1.0667327827647843,0.155,0.5861,0.7655716818169283,0.0197397251346668,1.1919972676479726,0.1213987213763267,7.113187275698179,False
zel024_hek293,zel024,p62,P26,3720,0.0024781123820033,0.067909051388328,0.465,0.0518160188836921,3.0329717970775047,0.005,0.5861,0.7655716818169283,0.0049616778709257,0.2684623548018203,-0.1030148518742912,-6.029471472854072,False
zel024_hek293,zel024,p62,P27,3720,0.0022598375959135,0.1434320212536068,0.44,0.0197805071525463,1.0974902196146588,0.15,0.5861,0.7655716818169283,0.0136591996742906,0.8822339721949938,-0.0028829520796892,-0.1920503297934704,False
